,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginCityMarketID,Origin,DestCityMarketID,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DivAirportLandings,N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST,CODE_aircraft,MFR_aircraft,MODEL_aircraft,TYPE-ACFT,TYPE-ENG,AC-CAT,BUILD-CERT-IND,NO-ENG,NO-SEATS,AC-WEIGHT,SPEED,TC-DATA-SHEET,TC-DATA-HOLDER,faa_registration_origin,Origin_DISPLAY_AIRPORT_NAME,Origin_DISPLAY_AIRPORT_CITY_NAME_FULL,Origin_LATITUDE,Origin_LONGITUDE,Dest_DISPLAY_AIRPORT_NAME,Dest_DISPLAY_AIRPORT_CITY_NAME_FULL,Dest_LATITUDE,Dest_LONGITUDE
75721,2019,1,1,30,3,2019-01-30 00:00:00,AS,402AS,183,30559,SEA,30299,ANC,2315,2313,-2,0,0,-1,2300-2359,17,2330,0143,5,0155,0148,-7,0,0,-1,0001-0559,0,,0,220,215,193,1,1448,6,0,0,0,0,0,0,402AS,41189                         ,13848CE,13078,2012,3,ALASKA AIRLINES INC                               ,C/O LEGAL DEPARTMENT SEAZL       ,19300 INTERNATIONAL BLVD         ,SEATAC            ,WA,981885304 ,S,033,US,20230616,20121023,1T        ,5,5,V ,51132040.0, ,20121021,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20281031,1107232,                              ,                    ,A4B420    ,13078,CFM INTL  ,CFM56-7B27E  ,5 ,0.0,27300.0,13848CE,BOEING                        ,737-990ER           ,5,5.0,1.0,0.0,2.0,222.0,CLASS 3,0.0,               ,                                                  ,2023.0,Seattle/Tacoma International,"Seattle, WA",47.45,-122.31166667,Ted Stevens Anchorage International,"Anchorage, AK",61.17416667,-149.99805556
80184,2019,1,1,6,7,2019-01-06 00:00:00,AS,549AS,723,30194,DFW,30559,SEA,0625,0726,61,61,1,4,0600-0659,17,0743,0921,10,0900,0931,31,31,1,2,0900-0959,0,,0,275,245,218,1,1660,7,0,31,0,0,0,0,549AS,30824                         ,13844NA,13802,2005,3,BANK OF UTAH TRUSTEE                              ,50 SOUTH 200 EAST STE 110        ,                                 ,SALT LAKE CITY    ,UT,84111     ,S,035,US,20230603,20210811,1T        ,5,5,V ,51574554.0, ,20050310,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280831,783944,                              ,                    ,A6F96C    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,13844NA,BOEING                        ,737-8FH             ,5,5.0,1.0,0.0,2.0,149.0,CLASS 3,0.0,               ,                                                  ,2023.0,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",32.89722222,-97.03777778,Seattle/Tacoma International,"Seattle, WA",47.45,-122.31166667
19864,2019,1,1,29,2,2019-01-29 00:00:00,OO,641CA,3568,34614,SLC,34252,PSC,1100,1059,-1,0,0,-1,1100-1159,20,1119,1140,5,1204,1145,-19,0,0,-2,1200-1259,0,,0,124,106,81,1,521,3,0,0,0,0,0,0,641CA,10122                         ,1390015,30015,2003,3,DELTA AIR LINES INC                               ,1775 M H JACKSON SERVICE RD      ,DEPT 595 AIRCRAFT REGISTRATIONS  ,ATLANTA           ,GA,303543743 ,7,121,US,20230701,20121213,1T        ,5,5,V ,52064445.0, ,20031030,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20281231,74619,                              ,                    ,A86925    ,30015,GE        ,CF34 SERIES  ,5 ,0.0,9140.0,1390015,BOMBARDIER INC                ,CL-600-2C10         ,5,5.0,1.0,0.0,2.0,80.0,CLASS 3,0.0,               ,                                                  ,2023.0,Salt Lake City International,"Salt Lake City, UT",40.78833333,-111.97777778,Tri Cities,"Pasco/Kennewick/Richland, WA",46.26472222,-119.11888889
76699,2019,1,1,31,4,2019-01-31 00:00:00,AS,839VA,1071,30852,IAD,32457,SFO,0905,0956,51,51,1,3,0900-0959,28,1024,1250,4,1215,1254,39,39,1,2,1200-1259,0,,0,370,358,326,1,2419,10,39,0,0,0,0,0,839VA,4610                          ,3940006,13010,2011,3,WELLS FARGO TRUST CO NA TRUSTEE                   ,5TH FLOOR MAC U1228-051          ,299 S MAIN ST                    ,SALT LAKE CITY    ,UT,841111919 ,S,035,US,20230825,20160824,1T        ,5,5,V ,52675645.0, ,20110309,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290831,1065544,                              ,                    ,AB7BA5    ,13010,CFM INTL  ,CFM56-5B4    ,5 ,0.0,27000.0,3940006,AIRBUS                        ,A320-214            ,5,5.0,1.0,0.0,2.0,182.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Washington Dulles International,"Washington, DC",38.9475,-77.46,San Francisco International,"San Francisco, CA",37.61888889,-122.37555556
92991,2019,1,1,22,2,2019-01-22 00:00:00,9E,341PQ,5073,34100,PHL,30721,BOS,0830,,0,0,0,,0800-0859,0,,,0,1010,,0,0,0,,1000-1059,1,C,0,100,0,0,1,280,2,0,0,0,0,0,0,341PQ,15341                         ,1390016,30050,2014,3,BANK OF UTAH TRUSTEE                              ,50 S 200 E STE 110               ,                                 ,SALT LAKE CITY    ,UT,841111617 ,S,035,US,20230122,20200629,1T        ,5,5,V ,50741131.0, ,20141121,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270630,1165848,                              ,                    ,A3C259    ,30050,GE        ,CF34-8C5     ,5 ,0.0,14510.0,1390016,BOMBARDIER INC                ,CL-600-2D24         ,5,5.0,1.0,0.0,2.0,95.0,CLASS 3,0.0,               ,                                                  ,2023.0,Philadelphia International,"Philadelphia, PA",39.87194444,-75.24055556,Logan International,"Boston, MA",42.36305556,-71.00638889
76434,2019,1,1,31,4,2019-01-31 00:00:00,AS,593AS,405,32457,SJC,34057,PDX,0625,0614,-11,0,0,-1,0600-0659,22,0636,0805,4,0815,0809,-6,0,0,-1,0800-0859,0,,0,110,115,89,1,569,3,0,0,0,0,0,0,593AS,35107                         ,1384527,13045,2008,3,UMB BANK NA TRUSTEE                               ,6440 S MILLROCK DR STE 400       ,                                 ,SALT LAKE CITY    ,UT,841215058 ,S,035,US,20230902,20220908,1T        ,5,5,V ,51724235.0, ,20080310,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290930,436779,                              ,                    ,A7A89D    ,13045,CFM INTL  ,CFM56-7B26   ,5 ,0.0,26300.0,1384527,BOEING                        ,737-890             ,5,5.0,1.0,0.0,2.0,149.0,CLASS 3,0.0,               ,                                                  ,2023.0,Norman Y. Mineta San Jose International,"San Jose, CA",37.36305556,-121.92861111,Portland International,"Portland, OR",45.58861111,-122.59694444
84004,2019,1,1,25,5,2019-01-25 00:00:00,9E,8896A,3282,30397,ATL,31150,CSG,1027,1025,-2,0,0,-1,1000-1059,28,1053,1118,3,1120,1121,1,1,0,0,1100-1159,0,,0,53,56,25,1,83,1,0,0,0,0,0,0,8896A,7896                          ,1390008,30015,2004,3,DELTA AIR LINES INC                               ,DEPT 595 AIRCRAFT REGISTRATIONS  ,1775 MH JACKSON SERVICE RD       ,ATLANTA           ,GA,30354     ,7,121,US,20230610,20210914,1T        ,5,5,V ,53041157.0, ,20040122,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280930,87789,                              ,                    ,AC426F    ,30015,GE        ,CF34 SERIES  ,5 ,0.0,9140.0,1390008,BOMBARDIER INC                ,CL-600-2B19         ,5,5.0,1.0,0.0,2.0,55.0,CLASS 3,0.0,               ,                                                  ,2023.0,Hartsfield-Jackson Atlanta International,"Atlanta, GA",33.63666667,-84.42777778,Columbus Airport,"Columbus, GA",32.51638889,-84.93888889
80917,2019,1,1,7,1,2019-01-07 00:00:00,AS,523AS,775,30140,ABQ,30559,SEA,0845,0846,1,1,0,0,0800-0859,28,0914,1120,6,1100,1126,26,26,1,1,1100-1159,0,,0,195,220,186,1,1180,5,0,0,26,0,0,0,523AS,35194                         ,1384527,13046,2009,3,WILMINGTON TRUST CO TRUSTEE                       ,1100 N MARKET ST                 ,                                 ,WILMINGTON        ,DE,198901100 ,1,003,US,20230324,20201007,1T        ,5,5,V ,51512044.0, ,20090227,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20271031,1002070,                              ,                    ,A69424    ,13046,CFM INTL  ,CFM56-7B27   ,5 ,0.0,27300.0,1384527,BOEING                        ,737-890             ,5,5.0,1.0,0.0,2.0,149.0,CLASS 3,0.0,               ,                                                  ,2023.0,Albuquerque International Sunport,"Albuquerque, NM",35.03888889,-106.60833333,Seattle/Tacoma International,"Seattle, WA",47.45,-122.31166667
60767,2019,1,1,10,4,2019-01-10 00:00:00,OO,106SY,5873,32575,SNA,32457,SFO,2015,2108,53,53,1,3,2000-2059,39,2147,2250,5,2147,2255,68,68,1,4,2100-2159,0,,0,92,107,63,1,372,2,0,0,15,0,53,0,106SY,17000399                      ,3260415,30061,2014,3,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,ST GEORGE         ,UT,847902085 ,S,053,US,20230122,20140508,1T        ,5,5,V ,50016245.0, ,20140509,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270531,1149331,                              ,                    ,A01CA5    ,30061,GE        ,CF34-8E5     ,5 ,0.0,14510.0,3260415,EMBRAER S A                   ,ERJ 170-200 LR      ,5,5.0,1.0,0.0,2.0,88.0,CLASS 3,0.0,               ,                                                  ,2023.0,John Wayne Airport-Orange County,"Santa Ana, CA",33.67555556,-117.86833333,San Francisco International,"San Francisco, CA",37.61888889,-122.37555556
50074,2019,1,1,17,4,2019-01-17 00:00:00,OO,778SK,3063,30561,BFL,30466,PHX,1922,1917,-5,0,0,-1,1900-1959,13,1930,2137,5,2157,2142,-15,0,0,-1,2100-2159,0,,0,95,85,67,1,425,2,0,0,0,0,0,0,778SK,10242                         ,1390015,30052,2006,3,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,ST GEORGE         ,UT,847902085 ,S,053,US,20230707,20190129,1T        ,5,5,V ,52504131.0, ,20060120,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290131,228399,                              ,                    ,AA8859    ,30052,GE        ,CF34-8C5B1   ,5 ,0.0,13790.0,1390015,BOMBARDIER INC                ,CL-600-2C10         ,5,5.0,1.0,0.0,2.0,80.0,CLASS 3,0.0,               ,                                                  ,2023.0,Meadows Field,"Bakersfield, CA",35.43388889,-119.05777778,Phoenix Sky Harbor International,"Phoenix, AZ",33.43416667,-112.01166667
