,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginCityMarketID,Origin,DestCityMarketID,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DivAirportLandings,N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST,CODE_aircraft,MFR_aircraft,MODEL_aircraft,TYPE-ACFT,TYPE-ENG,AC-CAT,BUILD-CERT-IND,NO-ENG,NO-SEATS,AC-WEIGHT,SPEED,TC-DATA-SHEET,TC-DATA-HOLDER,faa_registration_origin,Origin_DISPLAY_AIRPORT_NAME,Origin_DISPLAY_AIRPORT_CITY_NAME_FULL,Origin_LATITUDE,Origin_LONGITUDE,Dest_DISPLAY_AIRPORT_NAME,Dest_DISPLAY_AIRPORT_CITY_NAME_FULL,Dest_LATITUDE,Dest_LONGITUDE
0,2018,4,12,12,3,2018-12-12 00:00:00,AA,155UW,1670,30693,BNA,31057,CLT,1032,1030,-2,0,0,-1,1000-1059,11,1041,1231,13,1300,1244,-16,0,0,-2,1300-1359,0,,0,88,74,50,1,328,2,0,0,0,0,0,0,155UW,5659                          ,3940005,13006,2013,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,761551801 ,2,439,US,20230701,20151230,1T        ,5,5,V ,50157231.0, ,20130621,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20281231,1125492,                              ,                    ,A0DE99    ,13006,CFM INTL  ,CFM56-5B3/P  ,5 ,0.0,32000.0,3940005,AIRBUS                        ,A321-211            ,5,5.0,1.0,0.0,2.0,199.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Nashville International,"Nashville, TN",36.12444444,-86.67805556,Charlotte Douglas International,"Charlotte, NC",35.21361111,-80.94916667
1,2017,1,2,20,1,2017-02-20 00:00:00,B6,805JB,1512,31714,RSW,31703,EWR,1920,1907,-13,0,0,-1,1900-1959,15,1922,2148,9,2211,2157,-14,0,0,-1,2200-2259,0,,0,171,170,146,1,1068,5,0,0,0,0,0,0,805JB,5148                          ,3940004,34604,2012,3,JETBLUE AIRWAYS CORP                              ,2701 QUEENS PLZ N                ,                                 ,LONG ISLAND CITY  ,NY,111014020 ,1,081,US,20230519,20120608,1T        ,5,5,V ,52572472.0, ,20120609,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280630,1097012,                              ,                    ,AAF53A    ,34604,IAE       ,V2527-A5     ,5 ,0.0,24800.0,3940004,AIRBUS                        ,A320-232            ,5,5.0,1.0,0.0,2.0,200.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Southwest Florida International,"Fort Myers, FL",26.53611111,-81.75527778,Newark Liberty International,"Newark, NJ",40.6925,-74.16861111
2,2022,3,8,18,4,2022-08-18 00:00:00,WN,8724J,693,30721,PVD,31454,MCO,0510,0611,61,61,1,4,0001-0559,9,0620,0848,4,0800,0852,52,52,1,3,0800-0859,0,,0,170,161,148,1,1072,5,52,0,0,0,0,0,8724J,42549                         ,13844FZ,13120,2018,3,UMB BANK NA TRUSTEE                               ,6440 S MILLROCK DR STE 400       ,                                 ,SALT LAKE CITY    ,UT,841215058 ,S,035,US,20230122,20200616,1T        ,5,5,V ,53000261.0, ,20181022,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270630,1277860,                              ,                    ,AC00B1    ,13120,CFM INTL  ,LEAP-1B28 SER,5 ,0.0,29317.0,13844FZ,BOEING                        ,737-8               ,5,5.0,1.0,1.0,2.0,185.0,CLASS 3,0.0,               ,                                                  ,2023.0,Rhode Island Tf Green International,"Providence, RI",41.72222222,-71.42777778,Orlando International,"Orlando, FL",28.42944444,-81.30888889
3,2021,3,7,30,5,2021-07-30 00:00:00,UA,26215,220,30325,DEN,34614,SLC,2020,2200,100,100,1,6,2000-2059,14,2214,2333,9,2145,2342,117,117,1,7,2100-2159,0,,0,85,102,79,1,391,2,0,100,17,0,0,0,26215,28775                         ,13844BZ,13802,1998,3,UNITED AIRLINES INC                               ,233 S WACKER DR                  ,                                 ,CHICAGO           ,IL,606067147 ,C,031,US,20230705,20171220,1T        ,5,5,V ,50504404.0, ,19980801,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20271231,86971,                              ,                    ,A28904    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,13844BZ,BOEING                        ,737-824             ,5,5.0,1.0,0.0,2.0,149.0,CLASS 3,0.0,               ,                                                  ,2023.0,Denver International,"Denver, CO",39.86166667,-104.67305556,Salt Lake City International,"Salt Lake City, UT",40.78833333,-111.97777778
4,2018,1,2,26,1,2018-02-26 00:00:00,WN,8711Q,438,33195,TPA,30977,MDW,0800,0801,1,1,0,0,0800-0859,14,0815,0927,5,0940,0932,-8,0,0,-1,0900-0959,0,,0,160,151,132,1,997,4,0,0,0,0,0,0,8711Q,36979                         ,13844FZ,13120,2017,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR HDQ-4GC       ,                                 ,DALLAS            ,TX,75235     ,2,113,US,20230324,20171004,1T        ,5,5,V ,52776227.0, ,20170913,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20271031,1218987,                              ,                    ,ABFC97    ,13120,CFM INTL  ,LEAP-1B28 SER,5 ,0.0,29317.0,13844FZ,BOEING                        ,737-8               ,5,5.0,1.0,1.0,2.0,185.0,CLASS 3,0.0,               ,                                                  ,2023.0,Tampa International,"Tampa, FL",27.97555556,-82.53333333,Chicago Midway International,"Chicago, IL",41.78583333,-87.7525
5,2020,4,12,24,4,2020-12-24 00:00:00,WN,8690A,2921,30194,DAL,33570,SAN,0930,0937,7,7,0,0,0900-0959,12,0949,1030,3,1045,1033,-12,0,0,-1,1000-1059,0,,0,195,176,161,1,1182,5,0,0,0,0,0,0,8690A,36916                         ,138440A,13100,2016,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230825,20160811,1T        ,5,5,V ,52771237.0, ,20160617,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290831,1192433,                              ,                    ,ABF29F    ,13100,CFM INTL  ,CFM56-7B27E/F,5 ,0.0,27300.0,138440A,BOEING                        ,737-8H4             ,5,5.0,1.0,0.0,2.0,140.0,CLASS 3,0.0,               ,                                                  ,2023.0,Dallas Love Field,"Dallas, TX",32.84583333,-96.85083333,San Diego International,"San Diego, CA",32.73361111,-117.18972222
6,2021,4,11,2,2,2021-11-02 00:00:00,MQ,922AE,3636,30194,DFW,35411,TYR,1714,1706,-8,0,0,-1,1700-1759,25,1731,1757,4,1805,1801,-4,0,0,-1,1800-1859,0,,0,51,55,26,1,102,1,0,0,0,0,0,0,922AE,14500906                      ,3260212,54582,2005,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,76155     ,2,439,US,20230317,20110929,1T        ,5,5,V ,53142635.0, ,20050429,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270930,173129,                              ,                    ,ACC59D    ,54582,ROLLS-ROYC,AE3007 SER   ,5 ,0.0,6442.0,3260212,EMBRAER                       ,EMB-145LR           ,5,5.0,1.0,0.0,2.0,55.0,CLASS 2,0.0,               ,                                                  ,2023.0,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",32.89722222,-97.03777778,Tyler Pounds Regional,"Tyler, TX",32.35361111,-95.40305556
7,2020,3,9,12,6,2020-09-12 00:00:00,DL,337DN,1005,30466,PHX,31650,MSP,0640,0631,-9,0,0,-1,0600-0659,13,0644,1120,4,1132,1124,-8,0,0,-1,1100-1159,0,,0,172,173,156,1,1276,6,0,0,0,0,0,0,337DN,8080                          ,3940028,13003,2018,3,UMB BANK NA TRUSTEE                               ,6440 S MILLROCK DR STE 400       ,                                 ,SALT LAKE CITY    ,UT,841215058 ,S,035,US,20230714,20230714,1T        ,5,5,V ,50730050.0, ,20220914,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20300731,1271758,                              ,                    ,A3B028    ,13003,CFM INTL  ,CFM56-5B2    ,5 ,0.0,31000.0,3940028,AIRBUS SAS                    ,A321-213            ,5,5.0,1.0,0.0,2.0,199.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Phoenix Sky Harbor International,"Phoenix, AZ",33.43416667,-112.01166667,Minneapolis-St Paul International,"Minneapolis, MN",44.88194444,-93.22166667
8,2022,1,2,9,3,2022-02-09 00:00:00,OO,919SW,5025,34543,RKS,30325,DEN,0545,0536,-9,0,0,-1,0001-0559,12,0548,0628,5,0705,0633,-32,0,0,-2,0700-0759,0,,0,80,57,40,1,260,2,0,0,0,0,0,0,919SW,7657                          ,1390008,30015,2002,3,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,ST GEORGE         ,UT,847902085 ,S,053,US,20230610,20180910,1T        ,5,5,V ,53134677.0, ,20020703,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280930,754094,                              ,                    ,ACB9BF    ,30015,GE        ,CF34 SERIES  ,5 ,0.0,9140.0,1390008,BOMBARDIER INC                ,CL-600-2B19         ,5,5.0,1.0,0.0,2.0,55.0,CLASS 3,0.0,               ,                                                  ,2023.0,Southwest Wyoming Regional,"Rock Springs, WY",41.59416667,-109.06527778,Denver International,"Denver, CO",39.86166667,-104.67305556
9,2016,1,2,22,1,2016-02-22 00:00:00,NK,506NK,562,32211,LAS,30325,DEN,0755,0815,20,20,1,1,0700-0759,17,0832,1053,6,1042,1059,17,17,1,1,1000-1059,0,,0,107,104,81,1,628,3,13,0,1,0,3,0,506NK,2490                          ,3940015,34601,2005,7,GRYPHON TRADING CO LLC                            ,101 NE 3RD AVE STE 610           ,                                 ,FORT LAUDERDALE   ,FL,333011160 ,7,011,US,20230811,20230811,1A        ,5,5,V ,51450560.0, ,20050725,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20300831,186119,                              ,                    ,A65170    ,34601,IAE       ,V2500SERIES  ,4 ,0.0,25000.0,3940015,AIRBUS                        ,A319-132            ,5,5.0,1.0,0.0,2.0,179.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Harry Reid International,"Las Vegas, NV",36.08,-115.15222222,Denver International,"Denver, CO",39.86166667,-104.67305556
