,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginCityMarketID,Origin,DestCityMarketID,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DivAirportLandings,N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST,CODE_aircraft,MFR_aircraft,MODEL_aircraft,TYPE-ACFT,TYPE-ENG,AC-CAT,BUILD-CERT-IND,NO-ENG,NO-SEATS,AC-WEIGHT,SPEED,TC-DATA-SHEET,TC-DATA-HOLDER,faa_registration_origin,Origin_DISPLAY_AIRPORT_NAME,Origin_DISPLAY_AIRPORT_CITY_NAME_FULL,Origin_LATITUDE,Origin_LONGITUDE,Dest_DISPLAY_AIRPORT_NAME,Dest_DISPLAY_AIRPORT_CITY_NAME_FULL,Dest_LATITUDE,Dest_LONGITUDE,delayed
75721,2019,1,1,26,6,2019-01-26 00:00:00,WN,7839A,3699,32211,LAS,30436,TUS,1915,1910,-5,0,0,-1,1900-1959,11,1921,2110,3,2130,2113,-17,0,0,-2,2100-2159,0,,0,75,63,49,1,364,2,0,0,0,0,0,0,7839A,30243                         ,1384540,13044,2001,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20221215,20221215,1T        ,5,5,V ,52517477.0, ,20160416,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20291231,1039207,                              ,                    ,AA9F3F    ,13044,CFM INTL  ,CFM56-7B24   ,5 ,0.0,24200.0,1384540,BOEING                        ,737-73V             ,5,5.0,1.0,0.0,2.0,149.0,CLASS 3,0.0,               ,                                                  ,2023.0,Harry Reid International,"Las Vegas, NV",36.08,-115.15222222,Tucson International,"Tucson, AZ",32.11611111,-110.94111111,False
80184,2019,1,1,3,4,2019-01-03 00:00:00,WN,498WN,1860,32457,SFO,30466,PHX,0615,0610,-5,0,0,-1,0600-0659,21,0631,0858,6,0915,0904,-11,0,0,-1,0900-0959,0,,0,120,114,87,1,651,3,0,0,0,0,0,0,498WN,32480                         ,1384404,13802,2005,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ 4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230902,20050211,1T        ,5,5,V ,51427721.0, ,20050117,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290930,114009,                              ,                    ,A62FD1    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,1384404,BOEING                        ,737-7H4             ,5,5.0,1.0,0.0,2.0,140.0,CLASS 3,0.0,               ,                                                  ,2023.0,San Francisco International,"San Francisco, CA",37.61888889,-122.37555556,Phoenix Sky Harbor International,"Phoenix, AZ",33.43416667,-112.01166667,False
19864,2019,1,1,2,3,2019-01-02 00:00:00,AA,137AA,553,31057,CLT,30194,DFW,1155,1151,-4,0,0,-1,1100-1159,27,1218,1357,13,1400,1410,10,10,0,0,1400-1459,0,,0,185,199,159,1,936,4,0,0,0,0,0,0,137AA,6647                          ,3940032,34611,2015,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,76155     ,2,439,US,20230519,20150619,1T        ,5,5,V ,50112463.0, ,20150620,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280630,1180947,                              ,                    ,A09533    ,34611,IAE       ,V2533-A5     ,5 ,0.0,31600.0,3940032,AIRBUS                        ,A321-231            ,5,5.0,1.0,0.0,2.0,379.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Charlotte Douglas International,"Charlotte, NC",35.21361111,-80.94916667,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",32.89722222,-97.03777778,False
76699,2019,1,1,27,7,2019-01-27 00:00:00,WN,7832A,2614,30325,DEN,33851,OKC,1325,1323,-2,0,0,-1,1300-1359,8,1331,1536,2,1555,1538,-17,0,0,-2,1500-1559,0,,0,90,75,65,1,495,2,0,0,0,0,0,0,7832A,30657                         ,13844JA,13044,2003,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20221221,20221221,1T        ,5,5,V ,52517112.0, ,20151029,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20291231,1182816,                              ,                    ,AA9E4A    ,13044,CFM INTL  ,CFM56-7B24   ,5 ,0.0,24200.0,13844JA,BOEING                        ,737-79P             ,5,5.0,1.0,0.0,2.0,149.0,CLASS 3,0.0,               ,                                                  ,2023.0,Denver International,"Denver, CO",39.86166667,-104.67305556,Will Rogers World,"Oklahoma City, OK",35.39305556,-97.60083333,False
92991,2019,1,1,6,7,2019-01-06 00:00:00,WN,8535S,5539,31423,DSM,30466,PHX,1640,1635,-5,0,0,-1,1600-1659,7,1642,1838,4,1845,1842,-3,0,0,-1,1800-1859,0,,0,185,187,176,1,1150,5,0,0,0,0,0,0,8535S,63596                         ,1384414,13100,2017,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230304,20170710,1T        ,5,5,V ,52732625.0, ,20170609,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270731,1230266,                              ,                    ,ABB595    ,13100,CFM INTL  ,CFM56-7B27E/F,5 ,0.0,27300.0,1384414,BOEING                        ,737-800             ,5,5.0,1.0,0.0,2.0,189.0,CLASS 3,0.0,A16WE          ,BOEING CO                                         ,2023.0,Des Moines International,"Des Moines, IA",41.53416667,-93.65777778,Phoenix Sky Harbor International,"Phoenix, AZ",33.43416667,-112.01166667,False
76434,2019,1,1,27,7,2019-01-27 00:00:00,WN,455WN,2396,30423,AUS,30325,DEN,1925,1925,0,0,0,0,1900-1959,9,1934,2029,7,2040,2036,-4,0,0,-1,2000-2059,0,,0,135,131,115,1,775,4,0,0,0,0,0,0,455WN,32462                         ,1384404,13802,2004,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR HDQ-4GC       ,                                 ,DALLAS            ,TX,75235     ,2,113,US,20230122,20040506,1T        ,5,5,V ,51303260.0, ,20040331,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270630,59979,                              ,                    ,A586B0    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,1384404,BOEING                        ,737-7H4             ,5,5.0,1.0,0.0,2.0,140.0,CLASS 3,0.0,               ,                                                  ,2023.0,Robert Mueller Municipal,"Austin, TX",30.29805556,-97.70138889,Denver International,"Denver, CO",39.86166667,-104.67305556,False
84004,2019,1,1,12,6,2019-01-12 00:00:00,WN,8307K,3787,30198,PIT,30325,DEN,1000,0959,-1,0,0,-1,1000-1059,9,1008,1110,8,1140,1118,-22,0,0,-2,1100-1159,0,,0,220,199,182,1,1290,6,0,0,0,0,0,0,8307K,36987                         ,138440A,13078,2012,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230512,20120518,1T        ,5,5,V ,52655661.0, ,20120504,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280531,1083169,                              ,                    ,AB5BB1    ,13078,CFM INTL  ,CFM56-7B27E  ,5 ,0.0,27300.0,138440A,BOEING                        ,737-8H4             ,5,5.0,1.0,0.0,2.0,140.0,CLASS 3,0.0,               ,                                                  ,2023.0,Pittsburgh International,"Pittsburgh, PA",40.49138889,-80.23277778,Denver International,"Denver, CO",39.86166667,-104.67305556,False
80917,2019,1,1,4,5,2019-01-04 00:00:00,WN,8563Z,1490,31453,HOU,32211,LAS,1715,1739,24,24,1,1,1700-1759,6,1745,1836,16,1840,1852,12,12,0,0,1800-1859,0,,0,205,193,171,1,1235,5,0,0,0,0,0,0,8563Z,64172                         ,1384414,13802,2018,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230804,20220519,1T        ,5,5,V ,52740173.0, ,20180212,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290531,1269339,                              ,                    ,ABC07B    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,1384414,BOEING                        ,737-800             ,5,5.0,1.0,0.0,2.0,189.0,CLASS 3,0.0,A16WE          ,BOEING CO                                         ,2023.0,William P Hobby,"Houston, TX",29.64583333,-95.27722222,Harry Reid International,"Las Vegas, NV",36.08,-115.15222222,True
60767,2019,1,1,8,2,2019-01-08 00:00:00,AA,918AN,1237,31650,MSP,30977,ORD,0701,0659,-2,0,0,-1,0700-0759,22,0721,0816,18,0850,0834,-16,0,0,-2,0800-0859,0,,0,109,95,55,1,334,2,0,0,0,0,0,0,918AN,29519                         ,13844CB,13802,1999,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,76155     ,2,439,US,20230512,19990913,1T        ,5,5,V ,53132160.0, ,19990909,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280531,763797,                              ,                    ,ACB470    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,13844CB,BOEING                        ,737-823             ,5,5.0,1.0,0.0,2.0,162.0,CLASS 3,0.0,               ,                                                  ,2023.0,Minneapolis-St Paul International,"Minneapolis, MN",44.88194444,-93.22166667,Chicago O'Hare International,"Chicago, IL",41.97694444,-87.90805556,False
50074,2019,1,1,3,4,2019-01-03 00:00:00,AA,971NN,1328,30194,DFW,30189,COS,1505,1506,1,1,0,0,1500-1559,26,1532,1555,4,1604,1559,-5,0,0,-1,1600-1659,0,,0,119,113,83,1,592,3,0,0,0,0,0,0,971NN,31217                         ,13844CB,13804,2015,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,76155     ,2,439,US,20230512,20150520,1T        ,5,5,V ,53304225.0, ,20150518,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280531,1174346,                              ,                    ,AD8895    ,13804,CFM INTL  ,CFM56-7B24E  ,5 ,0.0,24200.0,13844CB,BOEING                        ,737-823             ,5,5.0,1.0,0.0,2.0,162.0,CLASS 3,0.0,               ,                                                  ,2023.0,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",32.89722222,-97.03777778,City of Colorado Springs Municipal,"Colorado Springs, CO",38.80583333,-104.70083333,False
27701,2019,1,1,5,6,2019-01-05 00:00:00,AA,850NN,2499,30852,DCA,30977,ORD,1430,1425,-5,0,0,-1,1400-1459,10,1435,1512,8,1549,1520,-29,0,0,-2,1500-1559,0,,0,139,115,97,1,612,3,0,0,0,0,0,0,850NN,40580                         ,13844CB,13074,2010,3,WILMINGTON TRUST CO TRUSTEE                       ,ATTN: CORPORATE TRUST ADMIN      ,1100 NORTH MARKET ST             ,WILMINGTON        ,DE,198901605 ,1,003,US,20230505,20100902,1T        ,5,5,V ,52724221.0, ,20100824,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280430,1056490,                              ,                    ,ABA891    ,13074,CFM INTL  ,CFM56-7B24/3 ,5 ,0.0,22800.0,13844CB,BOEING                        ,737-823             ,5,5.0,1.0,0.0,2.0,162.0,CLASS 3,0.0,               ,                                                  ,2023.0,Ronald Reagan Washington National,"Washington, DC",38.85138889,-77.03777778,Chicago O'Hare International,"Chicago, IL",41.97694444,-87.90805556,False
42141,2019,1,1,11,5,2019-01-11 00:00:00,AA,145AN,2798,30977,ORD,32457,SFO,1700,1809,69,69,1,4,1700-1759,22,1831,2033,16,1951,2049,58,58,1,3,1900-1959,0,,0,291,280,242,1,1846,8,0,0,0,0,58,0,145AN,6783                          ,3940032,34611,2015,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,76155     ,2,439,US,20230610,20150930,1T        ,5,5,V ,50132520.0, ,20151001,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280930,1189058,                              ,                    ,A0B550    ,34611,IAE       ,V2533-A5     ,5 ,0.0,31600.0,3940032,AIRBUS                        ,A321-231            ,5,5.0,1.0,0.0,2.0,379.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Chicago O'Hare International,"Chicago, IL",41.97694444,-87.90805556,San Francisco International,"San Francisco, CA",37.61888889,-122.37555556,True
45080,2019,1,1,4,5,2019-01-04 00:00:00,AA,805NN,156,30977,ORD,32467,FLL,0800,0827,27,27,1,1,0800-0859,15,0842,1232,5,1203,1237,34,34,1,2,1200-1259,0,,0,183,190,170,1,1182,5,27,0,7,0,0,0,805NN,31075                         ,13844CB,13074,2009,3,WILMINGTON TRUST CO TRUSTEE                       ,ATTN: CORPORATE TRUST ADMIN      ,1100 N MARKET ST                 ,WILMINGTON        ,DE,198900001 ,1,003,US,20230505,20090917,1T        ,5,5,V ,52572651.0, ,20090904,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280430,1031346,                              ,                    ,AAF5A9    ,13074,CFM INTL  ,CFM56-7B24/3 ,5 ,0.0,22800.0,13844CB,BOEING                        ,737-823             ,5,5.0,1.0,0.0,2.0,162.0,CLASS 3,0.0,               ,                                                  ,2023.0,Chicago O'Hare International,"Chicago, IL",41.97694444,-87.90805556,Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",26.07166667,-80.14972222,True
16638,2019,1,1,27,7,2019-01-27 00:00:00,AA,805AW,414,34057,PDX,30466,PHX,1055,1048,-7,0,0,-1,1000-1059,12,1100,1353,8,1429,1401,-28,0,0,-2,1400-1459,0,,0,154,133,113,1,1009,5,0,0,0,0,0,0,805AW,1049                          ,3930340,34601,1999,3,U S BANK NA TRUSTEE                               ,CORPORATE TRUST SERVICES         ,ONE FEDERAL ST                   ,BOSTON            ,MA,02110     ,E,025,US,20230603,20041021,1T        ,5,4,V ,52572205.0, ,19990830,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280831,955812,                              ,                    ,AAF485    ,34601,IAE       ,V2500SERIES  ,4 ,0.0,25000.0,3930340,AIRBUS INDUSTRIE              ,A319-132            ,5,4.0,1.0,0.0,2.0,179.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Portland International,"Portland, OR",45.58861111,-122.59694444,Phoenix Sky Harbor International,"Phoenix, AZ",33.43416667,-112.01166667,False
20424,2019,1,1,31,4,2019-01-31 00:00:00,AA,562UW,578,30466,PHX,30559,SEA,1812,1801,-11,0,0,-1,1800-1859,14,1815,1945,9,2024,1954,-30,0,0,-2,2000-2059,0,,0,192,173,150,1,1107,5,0,0,0,0,0,0,562UW,5332                          ,3940032,34611,2012,3,AMERICAN AIRLINES INC                             ,1 SKYVIEW DR                     ,MD 8B369                         ,FORT WORTH        ,TX,76155     ,2,439,US,20230701,20151230,1T        ,5,5,V ,51630057.0, ,20121030,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20281231,1107581,                              ,                    ,A7302F    ,34611,IAE       ,V2533-A5     ,5 ,0.0,31600.0,3940032,AIRBUS                        ,A321-231            ,5,5.0,1.0,0.0,2.0,379.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Phoenix Sky Harbor International,"Phoenix, AZ",33.43416667,-112.01166667,Seattle/Tacoma International,"Seattle, WA",47.45,-122.31166667,False
