,Quarter,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,CRSElapsedTime,Distance,DistanceGroup,year_of_manufacture,num_seats,Origin_LATITUDE,Origin_LONGITUDE,Dest_LATITUDE,Dest_LONGITUDE,Reporting_Airline,Tail_Number,Origin,Dest,company_type,registrant,aircraft_usage,engine_type,registration_status,engine_manufacturer,engine_model,aircraft_type,aircraft_manufacturer,aircraft_model,DepDel15,ArrDel15,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
75721,1,1,28,1,1805,2010,185,1044,5,2013,100,39.2975,-94.71388889,33.43416667,-112.01166667,WN,8610A,MCI,PHX,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56-7B27E,5,BOEING,737-8H4,0,0,0,0,0,0,0
80184,1,1,12,6,1800,2010,130,602,3,2011,100,39.86166667,-104.67305556,33.43416667,-112.01166667,WN,967WN,DEN,PHX,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56-7B24E,5,BOEING,737-7H4,0,0,0,0,0,0,0
19864,1,1,2,3,1013,1607,234,1814,8,1999,200,33.43416667,-112.01166667,40.49138889,-80.23277778,AA,658AW,PHX,PIT,3,WILMINGTON TRUST CO TRUSTEE,1T,5,V,IAE,V2500SERIES,4,AIRBUS,A320-232,0,0,0,0,0,0,0
76699,1,1,3,4,1950,2340,170,1256,6,2001,100,39.2975,-94.71388889,42.36305556,-71.00638889,WN,421LV,MCI,BOS,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56 SERIES,5,BOEING,737-7H4,0,0,0,0,0,0,0
92991,1,1,15,2,0745,0950,125,602,3,2014,100,39.86166667,-104.67305556,33.43416667,-112.01166667,WN,8651A,DEN,PHX,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56-7B27E,5,BOEING,737-8H4,0,0,0,0,0,0,0
76434,1,1,3,4,1215,1505,110,628,3,2012,100,36.08,-115.15222222,39.86166667,-104.67305556,WN,8308K,LAS,DEN,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56-7B27,5,BOEING,737-8H4,1,1,16,0,0,0,7
84004,1,1,21,1,0710,0855,165,895,4,2017,150,41.78583333,-87.7525,39.86166667,-104.67305556,WN,8522P,MDW,DEN,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56-7B27E/F,5,BOEING,737-800,1,0,0,0,0,0,0
80917,1,1,12,6,0730,0910,100,391,2,2001,100,40.78833333,-111.97777778,39.86166667,-104.67305556,WN,413WN,SLC,DEN,3,SOUTHWEST AIRLINES CO,1T,5,V,CFM,CFM56 SERIES,5,BOEING,737-7H4,0,0,0,0,0,0,0
60767,1,1,8,2,1100,1244,104,399,2,2005,150,42.36305556,-71.00638889,38.85138889,-77.03777778,AA,837AW,BOS,DCA,3,other,1T,5,V,IAE,V2500SERIES,4,AIRBUS,A319-132,0,0,0,0,0,0,0
50074,1,1,3,4,0617,1116,179,1188,5,2009,150,34.05611111,-117.60111111,32.89722222,-97.03777778,AA,980AN,ONT,DFW,3,WILMINGTON TRUST CO TRUSTEE,1T,5,V,CFM,CFM56-7B24/3,5,BOEING,737-823,0,1,0,0,22,0,0
27701,1,1,26,6,1754,1940,106,447,2,1999,150,29.99333333,-90.25916667,32.89722222,-97.03777778,AA,970TW,MSY,DFW,3,AMERICAN AIRLINES INC,1T,5,V,P & W,JT8D SERIES,4,MCDONNELL DOUGLAS,DC-9-83(MD-83),0,0,0,0,0,0,0
42141,1,1,28,1,1444,1555,71,247,1,2015,350,29.53388889,-98.46916667,32.89722222,-97.03777778,AA,153AN,SAT,DFW,3,AMERICAN AIRLINES INC,1T,5,V,IAE,V2533-A5,5,AIRBUS,A321-231,0,0,0,0,0,0,0
45080,1,1,18,5,1647,1800,73,247,1,2016,350,29.53388889,-98.46916667,32.89722222,-97.03777778,AA,995AN,SAT,DFW,3,AMERICAN AIRLINES INC,1T,5,V,IAE,V2533-A5,5,AIRBUS,A321-231,0,0,0,0,0,0,0
